inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,5,5,0.0,1.0,0,2213,0.06273794174194336,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.01568448543548584,0.043881893157958984,0.0,0.017979665717655035,0.017552757263183595,0.03510551452636719,0.043903684616088866,0.043947267532348636,0.0439908504486084,0.0439908504486084,0.0439908504486084,0.04774026870727539,0.055239105224609376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01568448543548584,0.043881893157958984,0.0,0.017979665717655035,0.017552757263183595,0.03510551452636719,0.043903684616088866,0.043947267532348636,0.0439908504486084,0.0439908504486084,0.0439908504486084,0.04774026870727539,0.055239105224609376,442.6,788,85,240.8,281.3955223524355,79183.44,-0.22145879198291898,-1.6827112107650766,104.6,124.2,221.39999999999998,396.20000000000005,571.0,596.6,622.2,665.6,726.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.6,788,85,240.8,281.3955223524355,79183.44,-0.22145879198291898,-1.6827112107650766,104.6,124.2,221.39999999999998,396.20000000000005,571.0,596.6,622.2,665.6,726.8,"('192.168.137.197', '58.205.212.119', 56155, 443, 'TCP')",Weibo4.pcap
0,8,8,0.0,1.0,0,3883,0.057164907455444336,1,1,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,8,8,8,8.0,8,8,8.0,0.0,0.008166415350777763,0.0271298885345459,0.0,0.008671546420266617,0.01899092197418213,0.030519914627075196,0.03560495376586914,0.03560495376586914,0.03605294227600098,0.038431739807128905,0.04518957138061523,0.05180993080139161,0.0560554027557373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008166415350777763,0.0271298885345459,0.0,0.008671546420266617,0.01899092197418213,0.030519914627075196,0.03560495376586914,0.03560495376586914,0.03605294227600098,0.038431739807128905,0.04518957138061523,0.05180993080139161,0.0560554027557373,485.375,1466,70,340.375,435.1097383132214,189320.484375,1.1638790933449557,0.4837812311874994,80.5,104.60000000000001,149.70000000000002,259.6,430.5,570.2,570.9,646.0000000000001,926.9999999999999,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.375,1466,70,340.375,435.1097383132214,189320.484375,1.1638790933449557,0.4837812311874994,80.5,104.60000000000001,149.70000000000002,259.6,430.5,570.2,570.9,646.0000000000001,926.9999999999999,"('192.168.137.197', '58.205.212.119', 56157, 443, 'TCP')",Weibo4.pcap
14,0,14,1.0,0.0,9438,0,0.11544680595397949,-1,-2,-2,-3,-4,-4,-5,-6,-6,-7,-8,-9,-9,-10,-11,-11,-12,-13,-13,-14,14.0,14,14,14.0,0.0,0.008880523534921499,0.03784489631652832,5.9604644775390625e-06,0.011708499624511953,6.0367584228515636e-05,0.0001827239990234375,0.022292518615722654,0.02475714683532715,0.029539942741394043,0.04939155578613281,0.06108791828155517,0.06131687164306641,0.08788039684295658,0.008880523534921499,0.03784489631652832,5.9604644775390625e-06,0.011708499624511953,6.0367584228515636e-05,0.0001827239990234375,0.022292518615722654,0.02475714683532715,0.029539942741394043,0.04939155578613281,0.06108791828155517,0.06131687164306641,0.08788039684295658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.1428571428571,1466,85,482.0,556.7717995145713,309994.8367346939,0.40940879989714235,-1.5564502241939313,86.2,105.2,256.4,349.0,418.0,642.1999999999999,1213.5,1382.0,1466.0,674.1428571428571,1466,85,482.0,556.7717995145713,309994.8367346939,0.40940879989714235,-1.5564502241939313,86.2,105.2,256.4,349.0,418.0,642.1999999999999,1213.5,1382.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('58.205.212.119', '192.168.137.197', 443, 56157, 'TCP')",Weibo4.pcap
10,0,10,1.0,0.0,6271,0,0.2809739112854004,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-6,-7,-7,-8,-8,-9,-9,-10,-10,10.0,10,10,10.0,0.0,0.031219323476155598,0.2439100742340088,7.152557373046875e-06,0.07586386724696226,3.4976005554199216e-05,7.414817810058594e-05,8.847713470458984e-05,0.01966953277587891,0.032730937004089355,0.03274273872375488,0.03299686908721924,0.0342766284942627,0.061454844474792394,0.031219323476155598,0.2439100742340088,7.152557373046875e-06,0.07586386724696226,3.4976005554199216e-05,7.414817810058594e-05,8.847713470458984e-05,0.01966953277587891,0.032730937004089355,0.03274273872375488,0.03299686908721924,0.0342766284942627,0.061454844474792394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.1,1466,98,390.1,529.976310791341,280874.89,0.761320987959945,-1.2155750634956521,114.2,241.60000000000002,326.2,349.0,372.0,410.2,700.8999999999999,1354.0,1466.0,627.1,1466,98,390.1,529.976310791341,280874.89,0.761320987959945,-1.2155750634956521,114.2,241.60000000000002,326.2,349.0,372.0,410.2,700.8999999999999,1354.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('58.205.212.119', '192.168.137.197', 443, 56155, 'TCP')",Weibo4.pcap
0,4,4,0.0,1.0,0,1478,0.1230018138885498,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4.0,4,4,4.0,0.0,0.0410006046295166,0.06366896629333496,0.0020220279693603516,0.027683973535845084,0.01910068988800049,0.03820137977600098,0.05730206966400146,0.06407337188720703,0.06467998027801514,0.06528658866882324,0.07142207622528074,0.08861532211303713,0.10580856800079347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410006046295166,0.06366896629333496,0.0020220279693603516,0.027683973535845084,0.01910068988800049,0.03820137977600098,0.05730206966400146,0.06407337188720703,0.06467998027801514,0.06528658866882324,0.07142207622528074,0.08861532211303713,0.10580856800079347,369.5,652,97,248.0,249.79841872998315,62399.25,0.01408075353731801,-1.9434124995998194,111.7,126.4,141.1,233.4000000000001,364.5,495.5999999999999,589.9,610.6,631.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.5,652,97,248.0,249.79841872998315,62399.25,0.01408075353731801,-1.9434124995998194,111.7,126.4,141.1,233.4000000000001,364.5,495.5999999999999,589.9,610.6,631.3,"('192.168.137.197', '116.133.8.86', 56156, 443, 'TCP')",Weibo4.pcap
9,0,9,1.0,0.0,5662,0,0.07026886940002441,-1,-1,-2,-2,-3,-3,-3,-4,-4,-5,-5,-6,-6,-7,-7,-7,-8,-8,-9,-9,9.0,9,9,9.0,0.0,0.008783608675003052,0.06172013282775879,5.9604644775390625e-06,0.020134073855657422,4.76837158203125e-06,1.0681152343750001e-05,1.621246337890625e-05,0.0123638153076172,0.06173992156982422,0.061768722534179685,0.06179451942443848,0.06240086555480957,0.06468720436096191,0.008783608675003052,0.06172013282775879,5.9604644775390625e-06,0.020134073855657422,4.76837158203125e-06,1.0681152343750001e-05,1.621246337890625e-05,0.0123638153076172,0.06173992156982422,0.061768722534179685,0.06179451942443848,0.06240086555480957,0.06468720436096191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.1111111111111,1446,97,457.8888888888889,584.4295308616855,341557.8765432099,0.6362489009736914,-1.5053526000119117,121.8,157.4,179.8,221.00000000000003,369.0,369.0,1015.1999999999996,1446.0,1446.0,629.1111111111111,1446,97,457.8888888888889,584.4295308616855,341557.8765432099,0.6362489009736914,-1.5053526000119117,121.8,157.4,179.8,221.00000000000003,369.0,369.0,1015.1999999999996,1446.0,1446.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('116.133.8.86', '192.168.137.197', 443, 56156, 'TCP')",Weibo4.pcap
0,2,2,0.0,1.0,0,705,0.019572019577026367,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.019572019577026367,0.019572019577026367,0.019572019577026367,0.0,0.001957201957702637,0.003914403915405274,0.00587160587310791,0.007828807830810547,0.009786009788513184,0.01174321174621582,0.013700413703918456,0.015657615661621094,0.01761481761932373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019572019577026367,0.019572019577026367,0.019572019577026367,0.0,0.001957201957702637,0.003914403915405274,0.00587160587310791,0.007828807830810547,0.009786009788513184,0.01174321174621582,0.013700413703918456,0.015657615661621094,0.01761481761932373,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,"('192.168.137.197', '58.205.212.119', 64763, 443, 'TCP')",Weibo4.pcap
7,0,7,1.0,0.0,5346,0,0.02011394500732422,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-5,-5,-5,-6,-6,-6,-7,-7,-7,7.0,7,7,7.0,0.0,0.0033523241678873696,0.019756078720092773,5.0067901611328125e-06,0.007336378645931585,0.00013017654418945312,0.00021877288818359376,0.00022420883178710937,0.00027198791503906254,0.0003409385681152344,0.012194585800170892,0.020099401473999023,0.02010655403137207,0.020110940933227538,0.0033523241678873696,0.019756078720092773,5.0067901611328125e-06,0.007336378645931585,0.00013017654418945312,0.00021877288818359376,0.00022420883178710937,0.00027198791503906254,0.0003409385681152344,0.012194585800170892,0.020099401473999023,0.02010655403137207,0.020110940933227538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.7142857142857,1466,116,502.7142857142857,573.9469149882154,329415.0612244898,0.255906655754606,-1.8426207987260284,210.8,289.0,334.0,349.0,349.0,935.1999999999996,1354.0,1438.0,1466.0,763.7142857142857,1466,116,502.7142857142857,573.9469149882154,329415.0612244898,0.255906655754606,-1.8426207987260284,210.8,289.0,334.0,349.0,349.0,935.1999999999996,1354.0,1438.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('58.205.212.119', '192.168.137.197', 443, 64763, 'TCP')",Weibo4.pcap
0,3,3,0.0,1.0,0,1141,0.04540896415710449,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3.0,3,3,3.0,0.0,0.022704482078552246,0.0246579647064209,0.020750999450683594,0.0019534826278686523,0.00493159294128418,0.00986318588256836,0.014794778823852538,0.01972637176513672,0.0246579647064209,0.028808164596557616,0.032958364486694335,0.037108564376831056,0.04125876426696777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022704482078552246,0.0246579647064209,0.020750999450683594,0.0019534826278686523,0.00493159294128418,0.00986318588256836,0.014794778823852538,0.01972637176513672,0.0246579647064209,0.028808164596557616,0.032958364486694335,0.037108564376831056,0.04125876426696777,380.3333333333333,583,159,141.33333333333334,173.59979518677113,30136.888888888887,-0.16004727940713845,0.0,207.0,255.0,303.0,351.0,399.0,435.8,472.59999999999997,509.40000000000003,546.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.3333333333333,583,159,141.33333333333334,173.59979518677113,30136.888888888887,-0.16004727940713845,0.0,207.0,255.0,303.0,351.0,399.0,435.8,472.59999999999997,509.40000000000003,546.2,"('192.168.137.197', '47.95.85.33', 56158, 443, 'TCP')",Weibo4.pcap
0,8,8,0.0,1.0,0,5104,0.12311005592346191,1,1,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,8,8,8,8.0,8,8,8.0,0.0,0.017587150846208845,0.06693410873413086,0.0,0.02795597771609559,0.04685387611389161,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.08378689289093016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017587150846208845,0.06693410873413086,0.0,0.02795597771609559,0.04685387611389161,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.06693410873413086,0.08378689289093016,638.0,1466,97,419.0,520.5525910030609,270975.0,0.6618112246457556,-1.0667246934735861,131.3,153.2,194.50000000000003,408.00000000000006,526.0,609.0,699.9999999999999,1164.8000000000004,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,1466,97,419.0,520.5525910030609,270975.0,0.6618112246457556,-1.0667246934735861,131.3,153.2,194.50000000000003,408.00000000000006,526.0,609.0,699.9999999999999,1164.8000000000004,1466.0,"('192.168.137.197', '116.133.8.86', 64766, 443, 'TCP')",Weibo4.pcap
108,0,108,1.0,0.0,154704,0,0.07661008834838867,-3,-9,-14,-19,-25,-30,-36,-41,-46,-52,-57,-63,-68,-73,-79,-84,-90,-95,-100,-106,108.0,108,108,108.0,0.0,0.0007159821340970904,0.02289104461669922,5.0067901611328125e-06,0.0035900106499419143,0.04585452079772949,0.04709877967834473,0.04993259906768799,0.05001587867736816,0.05104410648345947,0.053798866271972653,0.054256224632263185,0.05527186393737793,0.07609217166900635,0.0007159821340970904,0.02289104461669922,5.0067901611328125e-06,0.0035900106499419143,0.04585452079772949,0.04709877967834473,0.04993259906768799,0.05001587867736816,0.05104410648345947,0.053798866271972653,0.054256224632263185,0.05527186393737793,0.07609217166900635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1432.4444444444443,1466,117,33.55555555555556,188.7674119186602,35633.135802469136,-5.898546695561308,33.82603899061477,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1432.4444444444443,1466,117,33.55555555555556,188.7674119186602,35633.135802469136,-5.898546695561308,33.82603899061477,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('47.95.85.33', '192.168.137.197', 443, 56158, 'TCP')",Weibo4.pcap
